0,0,1
1,0,2
2,0,3
3,0,4
4,0,5
5,0,6
6,0,7
7,1,2
8,1,3
9,1,4
10,1,5
11,1,6
12,1,7
13,2,3
14,2,4
15,2,5
16,2,6
17,2,7
18,3,4
19,3,5
20,3,6
21,3,7
22,4,5
23,4,6
24,4,7
25,5,6
26,5,7
27,6,7
28,8,5
29,8,7
30,8,1
31,8,6
32,8,3
33,8,0
34,8,2
35,9,1
36,9,5
37,9,3
38,9,8
39,9,4
40,9,0
41,9,6
42,10,3
43,10,9
44,10,1
45,10,6
46,10,4
47,10,2
48,10,8
49,11,2
50,11,3
51,11,10
52,11,5
53,11,1
54,11,0
55,11,4
56,12,9
57,12,6
58,12,5
59,12,4
60,12,7
61,12,2
62,12,8
63,13,7
64,13,6
65,13,2
66,13,8
67,13,9
68,13,4
69,13,5
70,14,12
71,14,6
72,14,10
73,14,5
74,14,4
75,14,1
76,14,9
